Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
-2.000403425,0,0,0,0,0,0
-0.052223450,0,0,0,0,0,1
-0.048155325,0,0,0,0,0,0
-0.001085575,0,1,0,0,0,0
-0.001076250,0,0,0,0,0,0
-0.000404700,0,0,0,0,1,0
-0.000392525,0,0,0,1,1,0
-0.000328100,0,0,0,1,1,1
-0.000242500,0,0,0,1,1,0
-0.000083750,0,1,0,1,1,0
-0.000069425,0,0,0,1,1,0
-0.000063050,0,0,1,1,1,0
-0.000034225,0,0,0,1,1,0
-0.000000000,1,0,0,1,1,0
0.000015625,0,0,0,1,1,0
0.000205750,0,0,0,1,0,0
0.001505450,0,0,0,1,1,0
0.001516150,0,0,0,0,1,0
0.001565450,0,0,0,0,1,1
0.001587250,0,0,0,0,1,0
0.001742375,0,1,0,0,1,0
0.001756700,0,0,0,0,1,0
0.001763325,0,0,1,0,1,0
0.001792150,0,0,0,0,1,0
0.001825000,1,0,0,0,1,0
0.001840725,0,0,0,0,1,0
0.002022075,0,0,0,0,0,0
0.003432800,0,0,0,0,1,0
0.003442050,0,0,0,1,1,0
0.003486875,0,0,0,1,1,1
0.003508575,0,0,0,1,1,0
0.003663750,0,1,0,1,1,0
0.003678075,0,0,0,1,1,0
0.003684775,0,0,1,1,1,0
0.003713600,0,0,0,1,1,0
0.003747000,1,0,0,1,1,0
0.003762725,0,0,0,1,1,0
0.003943775,0,0,0,1,0,0
0.005461425,0,0,0,1,1,0
0.005470400,0,0,0,0,1,0
0.005515575,0,0,0,0,1,1
0.005537250,0,0,0,0,1,0
0.005692400,0,1,0,0,1,0
0.005706725,0,0,0,0,1,0
0.005713100,0,0,1,0,1,0
0.005741925,0,0,0,0,1,0
0.005775025,1,0,0,0,1,0
0.005790750,0,0,0,0,1,0
0.005972050,0,0,0,0,0,0
0.007488425,0,0,0,0,1,0
0.007497675,0,0,0,1,1,0
0.007542475,0,0,0,1,1,1
0.007564175,0,0,0,1,1,0
0.007719175,0,1,0,1,1,0
0.007733500,0,0,0,1,1,0
0.007739750,0,0,1,1,1,0
0.007768575,0,0,0,1,1,0
0.007802125,1,0,0,1,1,0
0.007817850,0,0,0,1,1,0
0.008031725,0,0,0,1,0,0
0.009438350,0,0,0,1,1,0
0.009447325,0,0,0,0,1,0
0.009492500,0,0,0,0,1,1
0.009514200,0,0,0,0,1,0
0.009669075,0,1,0,0,1,0
0.009683400,0,0,0,0,1,0
0.009690025,0,0,1,0,1,0
0.009718850,0,0,0,0,1,0
0.009751700,1,0,0,0,1,0
0.009767425,0,0,0,0,1,0
0.009948125,0,0,0,0,0,0
0.011463375,0,0,0,0,1,0
0.011472625,0,0,0,1,1,0
0.011517400,0,0,0,1,1,1
0.011539100,0,0,0,1,1,0
0.011694275,0,1,0,1,1,0
0.011708600,0,0,0,1,1,0
0.011714975,0,0,1,1,1,0
0.011743800,0,0,0,1,1,0
0.011776900,1,0,0,1,1,0
0.011792625,0,0,0,1,1,0
