Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-3.760664840,0,0,0,0,0,0,0,0
-0.004801040,0,0,0,0,1,0,0,0
-0.004784200,0,0,0,0,0,0,0,0
-0.003531920,0,0,0,0,0,1,0,0
-0.003503080,0,0,0,0,0,0,0,0
-0.000000000,1,0,0,0,0,0,0,0
0.000007440,1,0,0,0,0,0,0,1
0.000019560,1,1,0,0,0,0,0,1
0.000023880,1,1,1,0,0,0,0,1
0.000086320,1,1,1,0,0,0,0,0
0.000099400,1,1,1,0,1,0,0,0
0.000116240,1,1,1,0,0,0,0,0
0.001117560,1,1,1,1,0,0,0,0
0.001128000,1,1,1,1,0,1,0,0
0.001156840,1,1,1,1,0,0,0,0
0.001383680,1,1,1,0,0,0,0,0
0.001384680,1,1,0,0,0,0,0,0
0.003983400,0,1,0,0,0,0,0,0
0.003990840,0,1,0,0,0,0,0,1
0.003995800,0,1,0,0,0,0,1,1
0.004000320,0,0,0,0,0,0,1,1
0.004001080,0,0,1,0,0,0,1,1
0.004003120,0,0,1,0,0,0,0,1
0.004074680,0,0,1,0,0,0,0,0
0.004087760,0,0,1,0,1,0,0,0
0.004104560,0,0,1,0,0,0,0,0
0.004942680,0,0,1,1,0,0,0,0
0.004955960,0,0,1,1,0,1,0,0
0.004984800,0,0,1,1,0,0,0,0
0.005122480,0,0,1,0,0,0,0,0
0.005124120,0,0,0,0,0,0,0,0
0.007994480,1,0,0,0,0,0,0,0
0.008011200,1,1,0,0,0,0,0,0
0.008011920,1,1,1,0,0,0,0,0
0.008027640,1,1,1,0,0,0,0,1
0.008032560,1,1,1,0,0,0,1,1
0.008039880,1,1,1,0,0,0,0,1
0.008111440,1,1,1,0,0,0,0,0
0.008124520,1,1,1,0,1,0,0,0
0.008141360,1,1,1,0,0,0,0,0
0.009112040,1,1,1,1,0,0,0,0
0.009122200,1,1,1,1,0,1,0,0
0.009151040,1,1,1,1,0,0,0,0
0.009277480,1,1,1,0,0,0,0,0
0.009278440,1,1,0,0,0,0,0,0
0.011982520,0,1,0,0,0,0,0,0
0.011998440,0,0,0,0,0,0,0,0
0.011999200,0,0,1,0,0,0,0,0
0.012026880,0,0,1,0,0,0,0,1
0.012031800,0,0,1,0,0,0,1,1
0.012039120,0,0,1,0,0,0,0,1
0.012110680,0,0,1,0,0,0,0,0
0.012123760,0,0,1,0,1,0,0,0
0.012140600,0,0,1,0,0,0,0,0
0.013315800,0,0,1,1,0,0,0,0
0.013331200,0,0,1,1,0,1,0,0
0.013360040,0,0,1,1,0,0,0,0
0.013533840,0,0,1,0,0,0,0,0
0.013534800,0,0,0,0,0,0,0,0
0.015985240,1,0,0,0,0,0,0,0
0.015992760,1,0,0,0,0,0,0,1
0.015997720,1,0,0,0,0,0,1,1
0.016003280,1,1,0,0,0,0,1,1
0.016004000,1,1,1,0,0,0,1,1
0.016005040,1,1,1,0,0,0,0,1
0.016076600,1,1,1,0,0,0,0,0
0.016089680,1,1,1,0,1,0,0,0
0.016106480,1,1,1,0,0,0,0,0
0.017232320,1,1,1,1,0,0,0,0
0.017242720,1,1,1,1,0,1,0,0
0.017271560,1,1,1,1,0,0,0,0
0.017393640,1,1,1,0,0,0,0,0
0.017394600,1,1,0,0,0,0,0,0
0.019987760,0,1,0,0,0,0,0,0
0.020005400,0,0,0,0,0,0,0,0
0.020006160,0,0,1,0,0,0,0,0
0.020019160,0,0,1,0,0,0,0,1
0.020024120,0,0,1,0,0,0,1,1
0.020031440,0,0,1,0,0,0,0,1
0.020103000,0,0,1,0,0,0,0,0
0.020116000,0,0,1,0,1,0,0,0
0.020132840,0,0,1,0,0,0,0,0
0.021238320,0,0,1,1,0,0,0,0
0.021254720,0,0,1,1,0,1,0,0
0.021283560,0,0,1,1,0,0,0,0
0.021417200,0,0,1,0,0,0,0,0
0.021419280,0,0,0,0,0,0,0,0
0.023984320,1,0,0,0,0,0,0,0
0.023991840,1,0,0,0,0,0,0,1
0.023996800,1,0,0,0,0,0,1,1
0.024002360,1,1,0,0,0,0,1,1
0.024003080,1,1,1,0,0,0,1,1
0.024004120,1,1,1,0,0,0,0,1
0.024075680,1,1,1,0,0,0,0,0
0.024088680,1,1,1,0,1,0,0,0
0.024105520,1,1,1,0,0,0,0,0
0.025101000,1,1,1,1,0,0,0,0
0.025120080,1,1,1,1,0,1,0,0
0.025148920,1,1,1,1,0,0,0,0
0.025289240,1,1,1,0,0,0,0,0
0.025290200,1,1,0,0,0,0,0,0
0.027988080,0,1,0,0,0,0,0,0
0.027995680,0,1,0,0,0,0,0,1
0.028000600,0,1,0,0,0,0,1,1
0.028002400,0,0,0,0,0,0,1,1
0.028003120,0,0,1,0,0,0,1,1
0.028007920,0,0,1,0,0,0,0,1
0.028079480,0,0,1,0,0,0,0,0
0.028092560,0,0,1,0,1,0,0,0
0.028109400,0,0,1,0,0,0,0,0
0.028905120,0,0,1,1,0,0,0,0
0.028922920,0,0,1,1,0,1,0,0
0.028951760,0,0,1,1,0,0,0,0
0.029106000,0,0,1,0,0,0,0,0
0.029106960,0,0,0,0,0,0,0,0
0.031986760,1,0,0,0,0,0,0,0
