i = 0, dt = 65506, dt_send = 167, dt_receive = 158, sent = 15, received = 15
i = 1, dt = 748, dt_send = 146, dt_receive = 153, sent = 16, received = 16
i = 2, dt = 512, dt_send = 145, dt_receive = 154, sent = 17, received = 17
i = 3, dt = 517, dt_send = 145, dt_receive = 153, sent = 18, received = 18
i = 4, dt = 518, dt_send = 146, dt_receive = 152, sent = 19, received = 19
i = 5, dt = 509, dt_send = 146, dt_receive = 152, sent = 20, received = 20
i = 6, dt = 509, dt_send = 143, dt_receive = 153, sent = 21, received = 21
i = 7, dt = 508, dt_send = 143, dt_receive = 153, sent = 22, received = 22
i = 8, dt = 501, dt_send = 144, dt_receive = 153, sent = 23, received = 23
i = 9, dt = 503, dt_send = 143, dt_receive = 152, sent = 24, received = 24
i = 10, dt = 517, dt_send = 147, dt_receive = 152, sent = 25, received = 25
i = 11, dt = 517, dt_send = 153, dt_receive = 152, sent = 26, received = 26
i = 12, dt = 514, dt_send = 144, dt_receive = 152, sent = 27, received = 27
i = 13, dt = 501, dt_send = 142, dt_receive = 152, sent = 28, received = 28
i = 14, dt = 498, dt_send = 145, dt_receive = 151, sent = 29, received = 29
i = 15, dt = 502, dt_send = 144, dt_receive = 152, sent = 30, received = 30
i = 16, dt = 503, dt_send = 142, dt_receive = 153, sent = 31, received = 31
i = 17, dt = 500, dt_send = 143, dt_receive = 152, sent = 32, received = 32
i = 18, dt = 500, dt_send = 156, dt_receive = 155, sent = 33, received = 33
i = 19, dt = 520, dt_send = 144, dt_receive = 162, sent = 34, received = 34
i = 20, dt = 523, dt_send = 148, dt_receive = 157, sent = 35, received = 35
i = 21, dt = 533, dt_send = 145, dt_receive = 151, sent = 36, received = 36
i = 22, dt = 501, dt_send = 143, dt_receive = 153, sent = 37, received = 37
i = 23, dt = 501, dt_send = 144, dt_receive = 151, sent = 38, received = 38
i = 24, dt = 501, dt_send = 144, dt_receive = 153, sent = 39, received = 39
i = 25, dt = 504, dt_send = 144, dt_receive = 154, sent = 40, received = 40
i = 26, dt = 510, dt_send = 157, dt_receive = 161, sent = 41, received = 41
i = 27, dt = 538, dt_send = 146, dt_receive = 153, sent = 42, received = 42
i = 28, dt = 512, dt_send = 145, dt_receive = 155, sent = 43, received = 43
i = 29, dt = 510, dt_send = 142, dt_receive = 155, sent = 44, received = 44
i = 30, dt = 509, dt_send = 143, dt_receive = 152, sent = 45, received = 45
i = 31, dt = 502, dt_send = 144, dt_receive = 152, sent = 46, received = 46
i = 32, dt = 501, dt_send = 144, dt_receive = 151, sent = 47, received = 47
i = 33, dt = 501, dt_send = 143, dt_receive = 152, sent = 48, received = 48
i = 34, dt = 500, dt_send = 144, dt_receive = 152, sent = 49, received = 49
i = 35, dt = 503, dt_send = 145, dt_receive = 152, sent = 50, received = 50
