i,t_ms,loop_count,sum_junct,D,adj_sat,gt_block,if_then,pend_enc
0,2.06,0,-133,-678,-400,0,0,133
1,4.05,1,-132,-609,-400,0,0,132
2,6.03,2,-131,-604,-400,0,0,131
3,8.05,3,-131,-655,-400,0,0,131
4,10.06,4,-130,-600,-400,0,0,130
5,12.05,5,-129,-594,-400,0,0,129
6,14.05,6,-128,-590,-400,0,0,128
7,16.04,7,-127,-584,-400,0,0,127
8,18.04,8,-126,-579,-400,0,0,126
9,20.03,9,-125,-574,-400,0,0,125
10,22.03,10,-124,-570,-400,0,0,124
11,24.04,11,-123,-565,-400,0,0,123
12,26.03,12,-122,-559,-400,0,0,122
13,28.08,13,-121,-556,-400,0,0,121
14,30.05,14,-120,-549,-400,0,0,120
15,32.05,15,-119,-544,-400,0,0,119
16,34.04,16,-117,-484,-400,0,0,117
17,36.04,17,-116,-529,-400,0,0,116
18,38.06,18,-115,-525,-400,0,0,115
19,40.04,19,-114,-519,-400,0,0,114
20,42.04,20,-112,-460,-400,0,0,112
21,44.05,21,-111,-505,-400,0,0,111
22,46.03,22,-110,-499,-400,0,0,110
23,48.03,23,-108,-439,-400,0,0,108
24,50.03,24,-107,-485,-400,0,0,107
25,52.03,25,-106,-479,-400,0,0,106
26,54.03,26,-104,-420,-400,0,0,104
27,56.03,27,-103,-464,-400,0,0,103
28,58.03,28,-101,-405,-400,0,0,101
29,60.03,29,-100,-450,-400,0,0,100
30,62.03,30,-98,-389,-389,0,0,98
31,64.03,31,-97,-435,-400,0,0,97
32,66.03,32,-95,-374,-374,0,0,95
33,68.05,33,-94,-420,-400,0,0,94
34,70.04,34,-92,-359,-359,0,0,92
35,72.05,35,-90,-350,-350,0,0,90
36,74.03,36,-89,-394,-394,0,0,89
37,76.03,37,-87,-334,-334,0,0,87
38,78.03,38,-85,-325,-325,0,0,85
39,80.03,39,-83,-314,-314,0,0,83
40,82.02,40,-82,-359,-359,0,0,82
41,84.03,41,-80,-300,-300,0,0,80
42,86.03,42,-78,-289,-289,0,0,78
43,88.03,43,-76,-280,-280,0,0,76
44,90.11,44,-75,-326,-326,0,0,75
45,92.03,45,-73,-260,-260,0,0,73
46,94.03,46,-71,-254,-254,0,0,71
47,96.03,47,-69,-245,-245,0,0,69
48,98.03,48,-67,-235,-235,0,0,67
49,100.04,49,-65,-225,-225,0,0,65
50,102.04,50,-63,-215,-215,0,0,63
51,104.03,51,-61,-204,-204,0,0,61
52,106.03,52,-60,-249,-249,0,0,60
53,108.03,53,-58,-190,-190,0,0,58
54,110.03,54,-56,-179,-179,0,0,56
55,112.03,55,-54,-170,-170,0,0,54
56,114.03,56,-52,-159,-159,0,0,52
57,116.03,57,-50,-150,-150,0,0,50
58,118.04,58,-48,-140,-140,0,0,48
59,120.04,59,-46,-129,-129,0,0,46
60,122.03,60,-44,-119,-119,0,0,44
61,124.03,61,-42,-110,-110,0,0,42
62,126.03,62,-39,-44,-44,0,0,39
63,128.04,63,-37,-85,-85,0,0,37
64,130.03,64,-35,-74,-74,0,0,35
65,132.03,65,-33,-65,-65,0,0,33
66,134.03,66,-31,-54,-54,0,0,31
67,136.04,67,-29,-45,-45,0,0,29
68,138.04,68,-27,-35,-35,0,0,27
69,140.05,69,-25,-25,-25,0,0,25
70,142.03,70,-23,-14,-14,0,0,23
71,144.03,71,-21,-4,-4,0,0,21
72,146.02,72,-19,5,5,0,0,19
73,148.05,73,-16,68,68,0,0,16
74,150.04,74,-14,30,30,0,0,14
75,152.05,75,-12,39,39,0,0,12
76,154.02,76,-10,51,51,0,0,10
77,156.03,77,-8,59,59,0,0,8
78,158.05,78,-6,69,69,0,0,6
79,160.02,79,-4,81,81,0,0,4
80,162.03,80,-2,89,89,0,0,2
81,164.04,81,1,154,154,0,0,-1
82,166.05,82,3,114,114,0,0,-3
83,168.02,83,5,126,126,0,0,-5
84,170.04,84,7,134,134,0,0,-7
85,172.05,85,9,144,144,0,0,-9
86,174.02,86,11,156,156,0,0,-11
87,176.04,87,13,164,164,0,0,-13
88,178.05,88,16,229,229,0,0,-16
89,180.02,89,18,191,191,0,0,-18
90,182.04,90,20,199,199,0,0,-20
91,184.04,91,22,209,209,0,0,-22
92,186.05,92,24,219,219,0,0,-24
93,188.03,93,26,231,231,0,0,-26
94,190.04,94,28,239,239,0,0,-28
95,192.05,95,30,249,249,0,0,-30
96,194.06,96,32,259,259,0,0,-32
97,196.03,97,34,271,271,0,0,-34
98,198.09,98,36,277,277,0,0,-36
99,200.05,99,38,291,291,0,0,-38
100,202.03,100,40,301,301,0,0,-40
101,204.04,101,42,309,309,0,0,-42
102,206.06,102,45,373,373,0,0,-45
103,208.03,103,47,336,336,0,0,-47
104,210.05,104,49,344,344,0,0,-49
105,212.06,105,51,354,354,0,0,-51
106,214.03,106,53,366,366,0,0,-53
107,216.04,107,54,319,319,0,0,-54
108,218.05,108,56,379,379,0,0,-56
109,220.03,109,58,391,391,0,0,-58
110,222.04,110,60,399,399,0,0,-60
111,224.05,111,62,409,400,0,0,-62
112,226.03,112,64,421,400,0,0,-64
113,228.04,113,66,429,400,0,0,-66
114,230.05,114,68,439,400,0,0,-68
115,232.06,115,70,449,400,0,0,-70
116,234.03,116,72,461,400,0,0,-72
117,236.04,117,73,414,400,0,0,-73
118,238.05,118,75,474,400,0,0,-75
119,240.03,119,77,486,400,0,0,-77
120,242.04,120,79,494,400,0,0,-79
121,244.06,121,80,449,400,0,0,-80
122,246.04,122,82,511,400,0,0,-82
123,248.05,123,84,519,400,0,0,-84
124,250.07,124,86,529,400,0,0,-86
125,252.03,125,87,485,400,0,0,-87
126,254.05,126,89,544,400,0,0,-89
127,256.06,127,90,499,400,0,0,-90
128,258.03,128,92,561,400,0,0,-92
129,260.05,129,94,569,400,0,0,-94
130,262.06,130,95,524,400,0,0,-95
131,264.07,131,97,584,400,0,0,-97
132,266.03,132,98,540,400,0,0,-98
133,268.05,133,100,599,400,0,0,-100
134,270.06,134,101,554,400,0,0,-101
135,272.04,135,103,616,400,0,0,-103
136,274.05,136,104,569,400,0,0,-104
137,276.06,137,105,574,400,0,0,-105
138,278.04,138,107,636,400,0,0,-107
139,280.05,139,108,589,400,0,0,-108
140,282.06,140,109,594,400,0,0,-109
141,284.07,141,111,654,400,0,0,-111
142,286.04,142,112,610,400,0,0,-112
143,288.05,143,113,614,400,0,0,-113
144,290.06,144,114,619,400,0,0,-114
145,292.04,145,116,681,400,0,0,-116
146,294.05,146,117,634,400,0,0,-117
147,296.06,147,118,639,400,0,0,-118
148,298.04,148,119,645,400,0,0,-119
149,300.05,149,120,649,400,0,0,-120
150,302.07,150,121,654,400,0,0,-121
151,304.04,151,122,660,400,0,0,-122
152,306.05,152,123,664,400,0,0,-123
153,308.06,153,124,669,400,0,0,-124
154,310.07,154,125,674,400,0,0,-125
155,312.04,155,126,680,400,0,0,-126
156,314.05,156,127,684,400,0,0,-127
157,316.06,157,128,689,400,0,0,-128
158,318.04,158,129,695,400,0,0,-129
159,320.05,159,129,645,400,0,0,-129
160,322.06,160,130,699,400,0,0,-130
161,324.07,161,131,704,400,0,0,-131
162,326.04,162,132,710,400,0,0,-132
163,328.07,163,132,660,400,0,0,-132
164,330.04,164,133,715,400,0,0,-133
165,332.06,165,133,665,400,0,0,-133
166,334.07,166,134,719,400,0,0,-134
167,336.04,167,135,725,400,0,0,-135
168,338.05,168,135,675,400,0,0,-135
169,340.07,169,136,729,400,0,0,-136
170,342.04,170,136,680,400,0,0,-136
171,344.06,171,136,680,400,0,0,-136
172,346.07,172,137,734,400,0,0,-137
173,348.05,173,137,685,400,0,0,-137
174,350.06,174,138,739,400,0,0,-138
175,352.07,175,138,690,400,0,0,-138
176,354.04,176,138,690,400,0,0,-138
177,356.06,177,138,690,400,0,0,-138
178,358.07,178,138,690,400,0,0,-138
179,360.05,179,139,745,400,0,0,-139
180,362.06,180,139,695,400,0,0,-139
181,364.07,181,139,695,400,0,0,-139
182,366.05,182,139,695,400,0,0,-139
183,368.06,183,139,695,400,0,0,-139
184,370.07,184,139,695,400,0,0,-139
185,372.05,185,139,695,400,0,0,-139
186,374.06,186,139,695,400,0,0,-139
187,376.07,187,139,695,400,0,0,-139
188,378.05,188,139,695,400,0,0,-139
189,380.06,189,139,695,400,0,0,-139
190,382.07,190,138,640,400,0,0,-138
191,384.05,191,138,690,400,0,0,-138
192,386.06,192,138,690,400,0,0,-138
193,388.07,193,138,690,400,0,0,-138
194,390.05,194,137,634,400,0,0,-137
195,392.06,195,137,685,400,0,0,-137
196,394.07,196,137,685,400,0,0,-137
197,396.05,197,136,629,400,0,0,-136
198,398.06,198,136,680,400,0,0,-136
199,400.07,199,136,680,400,0,0,-136
200,402.05,200,135,624,400,0,0,-135
201,404.07,201,134,620,400,0,0,-134
202,406.08,202,134,670,400,0,0,-134
203,408.05,203,133,614,400,0,0,-133
204,410.06,204,133,665,400,0,0,-133
205,412.08,205,132,610,400,0,0,-132
206,414.05,206,132,660,400,0,0,-132
207,416.06,207,131,605,400,0,0,-131
208,418.07,208,130,600,400,0,0,-130
209,420.05,209,129,594,400,0,0,-129
210,422.06,210,129,645,400,0,0,-129
211,424.08,211,128,590,400,0,0,-128
212,426.05,212,127,584,400,0,0,-127
213,428.06,213,126,580,400,0,0,-126
214,430.08,214,125,575,400,0,0,-125
215,432.05,215,124,569,400,0,0,-124
216,434.07,216,123,565,400,0,0,-123
217,436.08,217,122,560,400,0,0,-122
218,438.05,218,121,554,400,0,0,-121
219,440.07,219,120,550,400,0,0,-120
220,442.08,220,119,545,400,0,0,-119
221,444.05,221,118,539,400,0,0,-118
222,446.07,222,117,535,400,0,0,-117
223,448.08,223,116,530,400,0,0,-116
224,450.05,224,115,524,400,0,0,-115
225,452.07,225,114,520,400,0,0,-114
226,454.08,226,113,515,400,0,0,-113
227,456.05,227,111,453,400,0,0,-111
228,458.07,228,110,500,400,0,0,-110
229,460.08,229,109,495,400,0,0,-109
230,462.06,230,108,489,400,0,0,-108
231,464.07,231,106,430,400,0,0,-106
232,466.08,232,105,475,400,0,0,-105
233,468.06,233,104,469,400,0,0,-104
234,470.07,234,102,410,400,0,0,-102
235,472.08,235,101,455,400,0,0,-101
236,474.06,236,99,393,393,0,0,-99
237,476.06,237,98,440,400,0,0,-98
238,478.08,238,96,380,380,0,0,-96
239,480.09,239,95,425,400,0,0,-95
240,482.06,240,93,363,363,0,0,-93
241,484.07,241,92,410,400,0,0,-92
242,486.08,242,90,350,350,0,0,-90
243,488.06,243,89,394,394,0,0,-89
244,490.08,244,87,335,335,0,0,-87
245,492.09,245,85,325,325,0,0,-85
246,494.06,246,84,369,369,0,0,-84
247,496.07,247,82,310,310,0,0,-82
248,498.08,248,81,355,355,0,0,-81
249,500.06,249,79,293,293,0,0,-79
250,502.07,250,77,285,285,0,0,-77
251,504.08,251,75,275,275,0,0,-75
252,506.06,252,74,319,319,0,0,-74
253,508.08,253,72,260,260,0,0,-72
254,510.09,254,70,250,250,0,0,-70
255,512.06,255,68,238,238,0,0,-68
256,514.07,256,67,285,285,0,0,-67
257,516.09,257,65,225,225,0,0,-65
258,518.06,258,63,213,213,0,0,-63
259,520.08,259,61,205,205,0,0,-61
260,522.09,260,59,195,195,0,0,-59
261,524.06,261,57,183,183,0,0,-57
262,526.07,262,56,230,230,0,0,-56
263,528.09,263,54,170,170,0,0,-54
264,530.06,264,52,158,158,0,0,-52
265,532.08,265,50,150,150,0,0,-50
266,534.09,266,48,140,140,0,0,-48
267,536.06,267,46,128,128,0,0,-46
268,538.08,268,44,120,120,0,0,-44
269,540.09,269,42,110,110,0,0,-42
270,542.07,270,40,98,98,0,0,-40
271,544.08,271,38,90,90,0,0,-38
272,546.09,272,36,80,80,0,0,-36
273,548.07,273,34,68,68,0,0,-34
274,550.08,274,32,60,60,0,0,-32
275,552.09,275,30,50,50,0,0,-30
276,554.07,276,28,38,38,0,0,-28
277,556.08,277,26,30,30,0,0,-26
278,558.09,278,24,20,20,0,0,-24
279,560.07,279,22,8,8,0,0,-22
280,562.08,280,20,0,0,0,0,-20
281,564.09,281,18,-9,-9,0,0,-18
282,566.07,282,16,-21,-21,0,0,-16
283,568.08,283,14,-29,-29,0,0,-14
284,570.09,284,12,-39,-39,0,0,-12
285,572.07,285,10,-51,-51,0,0,-10
286,574.08,286,8,-59,-59,0,0,-8
287,576.09,287,6,-69,-69,0,0,-6
288,578.07,288,4,-81,-81,0,0,-4
289,580.09,289,2,-89,-89,0,0,-2
290,582.10,290,0,-99,-99,0,0,0
291,584.07,291,-2,-111,-111,0,0,2
292,586.08,292,-4,-119,-119,0,0,4
293,588.09,293,-6,-129,-129,0,0,6
294,590.07,294,-8,-141,-141,0,0,8
295,592.08,295,-10,-149,-149,0,0,10
296,594.09,296,-12,-159,-159,0,0,12
297,596.07,297,-14,-171,-171,0,0,14
298,598.08,298,-16,-179,-179,0,0,16
299,600.09,299,-18,-189,-189,0,0,18
300,602.07,300,-20,-201,-201,0,0,20
301,604.08,301,-22,-209,-209,0,0,22
302,606.09,302,-24,-219,-219,0,0,24
303,608.07,303,-26,-231,-231,0,0,26
304,610.09,304,-28,-239,-239,0,0,28
305,612.10,305,-30,-249,-249,0,0,30
306,614.07,306,-31,-205,-205,0,0,31
307,616.08,307,-33,-264,-264,0,0,33
308,618.10,308,-35,-274,-274,0,0,35
309,620.07,309,-37,-286,-286,0,0,37
310,622.09,310,-39,-294,-294,0,0,39
311,624.10,311,-41,-304,-304,0,0,41
